,company,name,models,gear,year,kms,owner,fuel,price
0,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,34417,1,P,640799
1,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,25849,1,P,640799
2,Hyundai,i20,SPORTZ 1.2 O,Manual,2010,32395,1,P,405299
3,Maruti,Swift Dzire,VXI 1.2 BS IV,Manual,2014,49515,1,P,451399
4,Volkswagen,Polo,COMFORTLINE 1.0 PETROL,Manual,2018,30201,1,P,619099
5,Maruti,Dzire,VXI,Manual,2018,27281,1,P,669799
6,Hyundai,Elite i20,ASTA 1.4 CRDI,Manual,2016,43221,2,D,699599
7,Hyundai,Creta,1.6 CRDI SX PLUS AUTO,Automatic,2017,38962,1,D,1265399
8,Audi,A3,35TDI,Automatic,2015,87843,1,D,1590199
9,Renault,TRIBER,1.0 RXT,Manual,2019,28621,2,P,641999
10,Maruti,Swift Dzire,VXI AMT,Automatic,2014,33716,2,P,557899
11,Maruti,Swift,VDI ABS,Manual,2015,81015,3,D,537699
12,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2016,12541,1,P,508699
13,Maruti,Ritz,ZXI ABS,Manual,2015,54899,1,P,464499
14,Honda,Amaze,1.2 EXMT I VTEC,Manual,2014,58249,2,P,464199
15,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2016,28589,2,P,501899
16,Maruti,Baleno,DELTA 1.2 K12,Manual,2017,24480,1,P,616699
17,Ford,Figo,1.2 TITANIUM DURATEC,Manual,2013,31710,1,P,409299
18,Maruti,IGNIS,DELTA 1.2 K12,Manual,2017,29132,1,P,540399
19,Hyundai,i20,SPORTZ 1.4 AT VTVT,Automatic,2013,50903,1,P,548399
20,Volkswagen,Polo,HIGHLINE1.2L PETROL,Manual,2015,73563,2,P,539499
21,KIA,SELTOS,GTX 1.4 GDI AT PETROL,Automatic,2019,15023,1,P,1665899
22,Ford,Figo Aspire,1.2 TITANIUM PETROL,Manual,2017,22645,1,P,607399
23,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,2014,114634,2,P,450599
24,Mahindra,XUV500,W8 FWD,Manual,2017,45362,1,D,1360099
25,Hyundai,Elite i20,1.4 CRDI ASTA (O),Manual,2017,100703,1,D,710799
26,Hyundai,VENUE,1.0L Turbo GDI SX MT,Manual,2019,5678,1,P,1040899
27,Maruti,IGNIS,ALPHA 1.2 K12 AMT,Automatic,2018,10344,1,P,721899
28,Maruti,Celerio,VXI AMT,Automatic,2015,40525,2,P,424099
29,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2018,22212,1,P,859299
30,Hyundai,NEW SANTRO,SPORTZ 1.1,Manual,2018,48619,1,P,496099
31,Honda,City,V MT PETROL,Manual,2012,97288,3,P,498499
32,Maruti,Celerio,VXI AMT,Automatic,2015,46178,3,P,410199
33,Hyundai,NEW SANTRO,1.1 MAGNA MT,Manual,2019,10782,1,P,531099
34,Maruti,S PRESSO,VXI PLUS,Manual,2019,18395,1,P,468099
35,Ford,Ecosport,1.5 TITANIUM TI VCT AT,Automatic,2018,35691,2,P,958999
36,Maruti,Swift,VXI,Manual,2012,56941,2,P,454699
37,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,6413,1,P,562999
38,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,11086,1,P,562999
39,Maruti,Swift,ZDI AMT,Automatic,2018,50630,1,D,766599
40,Renault,Kwid,CLIMBER 1.0,AT,2017,18379,1,P,481999
41,Maruti,Swift,VXI,Manual,2014,51290,1,P,524799
42,Renault,Kwid,CLIMBER 1.0 AT,Automatic,2017,26686,1,P,471199
43,Hyundai,Eon,D LITE PLUS,Manual,2015,22112,1,P,304099
44,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2017,26371,1,P,422999
45,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2017,15883,1,P,440799
46,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,30545,1,P,550299
47,Honda,Brio,1.2 V MT I VTEC,Manual,2013,29665,1,P,401099
48,Hyundai,Eon,MAGNA PLUS,Manual,2014,56213,2,P,323399
49,Honda,Brio,1.2 VX MT I VTEC,Manual,2013,50160,2,P,411999
50,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2015,59212,2,P,456299
51,Tata,Nano,TWIST XTA,Automatic,2015,20122,1,P,280499
52,Maruti,Alto K10,VXI,Manual,2016,73745,1,P,324999
53,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2016,47768,1,P,501599
54,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2016,35640,2,P,433599
55,Maruti,Wagon R 1.0,VXI,Manual,2014,43883,3,P,390899
56,Hyundai,i10,MAGNA 1.1 IRDE2,Manual,2015,11765,1,P,387099
57,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,29361,1,P,544499
58,Maruti,Celerio,ZXI OPT,Manual,2017,14481,1,P,499199
59,Maruti,Celerio,VXI (O) AMT,Automatic,2018,8204,1,P,541299
60,Maruti,Ritz,VXI BS IV,Manual,2011,32981,1,P,406399
61,Tata,Nano,XT TWIST,Manual,2015,39703,1,P,187999
62,Hyundai,i10,ERA 1.1 IRDE,Manual,2012,41155,1,P,390199
63,Maruti,Alto K10,VXI,Manual,2012,49493,1,P,311199
64,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,48272,1,P,427599
65,Tata,Nano,XT TWIST,Manual,2016,19837,1,P,215099
66,Maruti,Alto 800,VXI,Manual,2017,6290,2,P,315999
67,Maruti,Wagon R 1.0,VXI,Manual,2015,36544,1,P,428499
68,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,31773,1,P,429499
69,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,14651,1,P,439799
70,Maruti,Alto K10,VXI AMT,Automatic,2017,24058,2,P,391499
71,Maruti,Alto K10,VXI (O) AMT,Automatic,2016,28783,2,P,381199
72,Maruti,Celerio,VXI,Manual,2014,167450,1,P,366199
73,Maruti,Celerio X,VXI OPT,Manual,2019,39396,1,P,479799
74,Mahindra,Scorpio,S2,Manual,2016,131500,1,D,795899
75,Maruti,Ertiga,VDI ABS,Manual,2015,56700,1,D,801099
76,Hyundai,Elite i20,ASTA 1.2 (O),Manual,2015,53207,1,P,641999
77,Ford,Ecosport,1.0 ECOBOOST TITANIUM OPT,Manual,2015,27264,2,P,618899
78,Skoda,Rapid,ACTIVE 1.0 TSI AT,Automatic,2020,11379,1,P,1115399
79,Toyota,YARIS,V MT,Manual,2018,36132,1,P,869799
80,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,12154,1,P,481199
81,Datsun,Redi Go,1.0 S,AT,2018,21745,1,P,406799
82,Renault,Kwid,CLIMBER 1.0,AT,2017,13993,1,P,481999
83,Honda,Brio,1.2 S MT I VTEC,Manual,2012,46222,2,P,345699
84,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2017,18163,1,P,422999
85,Honda,Brio,1.2 S MT I VTEC,Manual,2016,26015,1,P,455299
86,Hyundai,NEW SANTRO,1.1 SPORTS AMT,Automatic,2018,12850,1,P,588399
87,Maruti,Vitara Brezza,ZDI PLUS,Manual,2018,26671,1,D,950299
88,Maruti,Ritz,LXI,Manual,2010,59705,2,P,314399
89,Maruti,Swift,VXI,Manual,2014,59853,1,P,493499
90,Ford,New Figo,1.2 TITANIUM,Manual,2016,15848,1,P,489999
91,Maruti,Baleno,ALPHA 1.2 K12,Manual,2016,51706,1,P,666199
92,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,17406,1,P,640799
93,Datsun,Redi Go,LIMITED EDITION,Manual,2017,9402,1,P,333699
94,Maruti,Swift,LXI OPT,Manual,2016,35352,1,P,482399
95,Hyundai,Elite i20,ASTA 1.2,Manual,2015,102624,1,P,592799
96,Hyundai,Elite i20,ASTA 1.2,Manual,2015,29979,1,P,612599
97,Volkswagen,Ameo,HIGHLINE 1.5L AT (D),Automatic,2016,70051,2,D,657299
98,Hyundai,Tucson New,4WD AT GLS DIESEL,Automatic,2017,58222,2,D,2096099
99,Maruti,Zen Estilo,VXI,Manual,2008,60927,1,P,255299
100,Maruti,Ciaz,DELTA 1.5 SHVS VVT MT,Manual,2020,21249,1,P,900599
101,Maruti,Baleno,ZETA 1.2 K12,Manual,2017,46375,1,P,674999
102,Toyota,YARIS,V MT,Manual,2018,16240,1,P,923899
103,Honda,City,V MT PETROL,Manual,2017,47252,1,P,875399
104,Maruti,Ciaz,DELTA 1.5 SHVS VVT AT,Automatic,2018,15032,1,P,965999
105,Hyundai,i10,MAGNA 1.2 AT,Automatic,2009,58491,2,P,253999
106,Volkswagen,Polo,GT TSI 1.2 PETROL AT,Automatic,2013,45757,1,P,599799
107,Hyundai,Elite i20,ASTA 1.2 DUAL TONE,Manual,2017,26347,1,P,682499
108,Ford,Figo Aspire,1.2 TITANIUM PETROL,Manual,2017,14252,1,P,615899
109,Honda,Amaze,1.2 VXMT I VTEC,Manual,2019,16418,1,P,789899
110,Ford,Ecosport,1.5TITANIUM TDCI,Manual,2013,78438,2,D,632999
111,Hyundai,Eon,1.0 MAGNA PLUS,Manual,2014,32359,3,P,286999
112,Honda,City,S MT PETROL,Manual,2013,90128,1,P,527399
113,Maruti,Alto 800,LXI,Manual,2015,46146,2,P,264899
114,Hyundai,i20,SPORTZ 1.4 AT VTVT,Automatic,2013,76298,2,P,506099
115,Hyundai,VENUE,S MT 1.2 KAPPA,Manual,2020,2138,1,P,915099
116,Hyundai,VENUE,S MT 1.2 KAPPA,Manual,2020,7415,1,P,866399
117,Maruti,IGNIS,ZETA 1.2 K12,Manual,2018,73599,1,P,547499
118,Honda,Jazz,1.2 V MT,Manual,2015,29909,2,P,562999
119,Hyundai,VENUE,1.0 TURBO GDI SX+ AT,Automatic,2020,37374,1,P,1162099
120,Hyundai,i20,ASTA 1.2,Manual,2011,83603,2,P,409499
121,Hyundai,NEW SANTRO,SPORTZ 1.1,Manual,2019,16387,1,P,535099
122,Hyundai,Santro Xing,GL PLUS,Manual,2011,47436,1,P,243399
123,Hyundai,i10,SPORTZ 1.2,Manual,2009,65456,3,P,291699
124,Maruti,Swift,VXI,Manual,2014,21229,1,P,493499
125,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2015,41050,1,P,474799
126,Hyundai,Grand i10,MAGNA 1.2 VTVT,Manual,2016,61166,1,P,464099
127,Maruti,Swift,VXI,Manual,2014,61475,1,P,486999
128,Hyundai,i20,SPORTZ 1.2 VTVT,Manual,2012,49270,2,P,417699
129,Maruti,Swift,VXI,Manual,2014,28791,1,P,493499
130,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,2017,17939,1,P,498299
131,Hyundai,Grand i10,1.2 Sportz at,Automatic,2019,34444,1,P,650999
132,Hyundai,Eon,MAGNA PLUS,Manual,2015,30228,1,P,342699
133,Hyundai,i10,MAGNA 1.2 KAPPA2,Manual,2013,37615,2,P,329299
134,Hyundai,i10,SPORTZ 1.2 KAPPA2,Manual,2011,53655,1,P,306999
135,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,30243,2,P,544499
136,Maruti,Wagon R 1.0,VXI,Manual,2014,57378,1,P,400699
137,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2016,120,1,P,501599
138,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,23568,1,P,544499
139,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2015,50999,1,P,476499
140,Maruti,Wagon R 1.0,VXI,Manual,2012,60617,1,P,350399
141,Maruti,Ritz,VXI BS IV,Manual,2014,108280,1,P,409699
142,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,Automatic,2013,59401,1,P,397299
143,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,Automatic,2013,40783,1,P,397299
144,Maruti,Ritz,VXI BS IV,Manual,2014,54073,2,P,409699
145,Maruti,Celerio,VXI,Manual,2016,3171,1,P,484199
146,Maruti,Ritz,VXI BS IV,Manual,2012,60051,2,P,360799
147,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,24484,1,P,450199
148,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,24158,1,P,450199
149,Maruti,Celerio,VXI AMT,Automatic,2016,26344,2,P,447999
150,Maruti,Wagon R 1.0,VXI,Manual,2015,21512,1,P,448799
151,Maruti,Alto K10,VXI (O) AMT,Automatic,2018,5280,1,P,485799
152,Maruti,Alto K10,VXI,Manual,2015,26421,2,P,335199
153,Maruti,Alto K10,VXI,Manual,2014,34245,2,P,347499
154,Hyundai,Elite i20,ASTA 1.2 (O),Manual,2018,7356,1,P,771399
155,Renault,Kwid,RXT Opt,Manual,2016,10440,2,P,348699
156,Tata,Tiago,XZA 1.2 REVOTRON,Automatic,2017,28302,1,P,549999
157,Ford,FREESTYLE,TITANIUM 1.2 TI-VCT,MT,2018,31061,1,P,668599
158,Maruti,Swift,VXI,Manual,2018,56779,2,P,593499
159,Maruti,Swift,ZXI AMT,Automatic,2018,26140,1,P,687399
160,Mahindra,XUV 3OO,W8(O),Manual,2020,15857,1,D,1268099
161,Maruti,Swift,VDI ABS,Manual,2015,42729,2,D,586399
162,Maruti,Alto K10,VXI (O) AMT,Automatic,2016,17015,1,P,427499
163,Ford,Ecosport,1.5 TDCI TITANIUM PLUS,Manual,2018,29824,1,D,973599
164,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2015,47564,1,P,411399
165,Maruti,Wagon R 1.0,VXI,Manual,2013,44510,1,P,412899
166,Maruti,Wagon R 1.0,VXI,Manual,2012,35022,1,P,368799
167,Maruti,Swift,VXI,Manual,2012,51412,1,P,434599
168,Hyundai,i20 Active,1.2 S,Manual,2015,103439,2,P,588799
169,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2017,21197,2,P,537699
170,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,Manual,2011,38597,2,P,402199
171,Maruti,Baleno,DELTA 1.2 K12,Manual,2016,10520,1,P,643999
172,Toyota,Innova,2.5 ZX 7 STR BS IV,Manual,2014,61021,2,D,1381199
173,Maruti,Alto K10,VXI,Manual,2012,46264,1,P,313299
174,Hyundai,Creta,1.6 SX,CRDI,2016,113574,1,D,901699
175,Ford,Figo,1.2 TITANIUM DURATEC,Manual,2012,26224,1,P,367599
176,Ford,FREESTYLE,TITANIUM 1.5 TDCI,Manual,2018,33895,2,D,634499
177,Renault,Kwid,RXT Opt,Manual,2016,49658,1,P,348699
178,Toyota,YARIS,V CVT,Automatic,2018,58923,1,P,927899
179,Tata,NEXON,XZ 1.2,Manual,2020,7791,2,P,991699
180,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,8409,1,P,450199
181,Maruti,Alto K10,VXI AMT,Automatic,2016,22469,1,P,406499
182,Hyundai,Tucson New,2WD AT GLS DIESEL,Automatic,2018,73609,2,D,1772499
183,Ford,Figo Aspire,1.5 TREND DIESEL,Manual,2015,63705,1,D,488099
184,Maruti,Ritz,VXI ABS,Manual,2010,142988,1,P,314499
185,Toyota,YARIS,VX CVT,Automatic,2018,23165,1,P,1013899
186,Ford,Ecosport,1.5TITANIUM TDCI,Manual,2017,55093,1,D,748799
187,Maruti,IGNIS,ALPHA 1.2 K12 DUAL TONE,Manual,2017,102631,1,P,593399
188,Maruti,IGNIS,ZETA 1.2 K12 AMT,Automatic,2017,35928,1,P,568799
189,Honda,Jazz,1.2 V MT,Manual,2016,54525,1,P,661499
190,Honda,City,S MT PETROL,Manual,2013,37520,2,P,559499
191,Hyundai,Santro Xing,GLS LPG,Manual,2010,74255,3,P,239899
192,Ford,Ecosport,1.5 TITANIUM SIGNATURE TI VCT (SUNROOF),Manual,2018,13002,1,P,1085799
193,Renault,Duster,RXZ DIESEL 110,Manual,2015,41639,2,D,760199
194,Renault,Duster,RXZ DIESEL 110,Manual,2018,89441,1,D,912999
195,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2014,28501,2,P,449699
196,Volkswagen,Vento,HIGHLINE PLUS 1.0 TSI AT,Automatic,2020,8464,1,P,1482999
197,Hyundai,i20,SPORTZ 1.2 VTVT,Manual,2014,89057,2,P,474399
198,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2014,31454,4,P,427299
199,Maruti,Swift,VXI,Manual,2017,52625,2,P,581899
200,Maruti,S PRESSO,VXI PLUS,Manual,2020,4983,1,P,489699
201,Ford,Ecosport,1.0 ECOBOOST TITANIUM,Manual,2015,148890,1,P,612099
202,Hyundai,Santro Xing,GLS,Manual,2014,46178,1,P,313899
203,Honda,Brio,1.2 S MT I VTEC,Manual,2015,42415,2,P,450299
204,Hyundai,Grand i10,ASTA 1.1 (O) CRDI,Manual,2015,77105,1,D,523499
205,Hyundai,Eon,SPORTZ,Manual,2014,36141,2,P,347099
206,Renault,Kwid,RXT 1.0 EASY-R  AT,Automatic,2018,4262,1,P,481399
207,Maruti,Wagon R 1.0,VXI OPT,Manual,2016,96083,1,P,404199
208,Maruti,Ritz,ZDI,Manual,2014,66585,2,D,509799
209,Maruti,Celerio,ZXI,Manual,2017,34177,1,P,452099
210,Maruti,Alto 800,LXI,Manual,2017,33777,1,P,298299
211,Maruti,Wagon R 1.0,VXI,Manual,2012,53525,1,P,368499
212,Maruti,Alto 800,VXI,Manual,2017,38554,1,P,315999
213,Maruti,Alto 800,VXI,Manual,2017,37801,3,P,315999
214,Maruti,Celerio,VXI AMT,Automatic,2016,42560,1,P,447999
215,Tata,Nano,XT TWIST,Manual,2014,31769,1,P,181499
216,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,27150,1,P,450199
217,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,8623,1,P,450199
218,Maruti,Wagon R 1.0,VXI,Manual,2016,27858,1,P,455199
219,Maruti,Alto K10,VXI,Manual,2018,24316,1,P,398299
220,Tata,Nano,TWIST XTA,Automatic,2016,19648,2,P,269599
221,Maruti,Alto K10,VXI OPT,Manual,2018,48435,1,P,410999
222,Maruti,Wagon R 1.0,VXI,Manual,2015,33398,1,P,435499
223,Maruti,Wagon R 1.0,VXI,Manual,2015,29297,2,P,412399
224,Maruti,Alto K10,VXI (O) AMT,Automatic,2016,29240,1,P,423099
225,Maruti,Baleno,DELTA 1.2 K12,Manual,2016,38533,1,P,585499
226,Renault,Kwid,RXT 1.0 EASY-R  AT,Automatic,2016,16861,2,P,394799
227,Maruti,Celerio,VXI (O),Manual,2019,28497,1,P,487599
228,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2015,65377,1,P,640999
229,Honda,Amaze,1.2 SMT I VTEC,Manual,2018,15895,1,P,632299
230,Ford,Figo,1.4 TITANIUM DURATORQ,Manual,2015,67701,1,D,430899
231,Honda,Jazz,1.2 V MT,Manual,2016,58608,1,P,654999
232,Maruti,Alto K10,VXI AMT,Automatic,2015,10825,2,P,378899
233,Hyundai,i20,MAGNA O 1.2,Manual,2014,40301,2,P,424999
234,Ford,New Figo,1.5 TITANIUM,Manual,2018,19589,1,D,614999
235,Hyundai,Eon,ERA PLUS,Manual,2016,36874,1,P,340699
236,Hyundai,Grand i10,ASTA 1.2 AT VTVT,Automatic,2016,30960,1,P,566699
237,Tata,Nano,XT TWIST,Manual,2015,43402,1,P,185999
238,Maruti,Swift Dzire,VDI OPT,Manual,2016,47194,1,D,643499
239,Maruti,Swift Dzire,VXI 1.2 BS IV,Manual,2011,112698,1,P,359899
240,Maruti,Wagon R,LXI,Manual,2009,35356,1,P,257899
241,Hyundai,Santro Xing,GLS,Manual,2008,44465,1,P,237299
242,Maruti,OMNI E,8 STR,Manual,2017,20442,1,P,368999
